"APIVrs: 1.01.03"
"DataVrs: 2021:10:13 22:57:14.023"
"Expression: bacterial infection"
"NStudiesAvail: 392193"
"NStudiesFound: 7653"
"MinRank: 5001"
"MaxRank: 6000"
"NStudiesReturned: 1000"
"Field Names: OverallStatus,BriefSummary,Condition,HealthyVolunteers,StudyType,StartDate,CompletionDate,InterventionName,InterventionType,Phase,Gender,MaximumAge,MinimumAge,DesignPrimaryPurpose,DesignInterventionModel,LocationCountry,DesignAllocation,EnrollmentCount,EventGroupDeathsNumAffected,EventGroupSeriousNumAffected"

"Rank","OverallStatus","BriefSummary","Condition","HealthyVolunteers","StudyType","StartDate","CompletionDate","InterventionName","InterventionType","Phase","Gender","MaximumAge","MinimumAge","DesignPrimaryPurpose","DesignInterventionModel","LocationCountry","DesignAllocation","EnrollmentCount","EventGroupDeathsNumAffected","EventGroupSeriousNumAffected"
5001,"Completed","Lung immune responses are regulated independently of systemic responses. Injected vaccines may induce optimal responses in blood but not at mucosal surfaces. We compared the responses in serum and lung fluid to injected pneumococcal conjugate vaccine.","Pneumonia|Meningitis|Invasive Pneumococcal Disease|HIV","Accepts Healthy Volunteers","Interventional","February 2003","October 2003","7-valent pneumococcal conjugate vaccine (Prevnar)","Biological","Phase 4","All",,"17 Years","Prevention","Single Group Assignment","Malawi","Randomized","40",,
5002,"Completed","Syphilis and HIV are prone to occur concomitantly and the two diseases share several modes of acquisition and risk factors such as men who have sex with men (MSM), sexual workers, intravenous drug users, previous history of sexual transmitted diseases (STDs), and multiple partners. HIV infection rates of up to 50% have been reported among patients diagnosed with syphilis in several regions, with higher HIV infection rates among MSM. Besides, syphilis ulcers are proposed to enhance the transmission of HIV. In Taiwan, there is also an increasing prevalence of syphilis and HIV co-infection among MSM. Therefore, to treat syphilis is an important issue for public health.||According to literature review, whether patients with HIV and syphilis co-infection had higher serologic failure rate remains controversial, especially in the era after highly active anti-retroviral therapy (HAART) was introduced since 1996. Ghanem et al recently demonstrated that the use of HAART may reduce syphilis failure rates among HIV-infected patients who have syphilis. In addition, the treatment guideline in 2006 suggested that the treatment of primary syphilis and secondary syphilis is single dose benzathine penicillin G regardless of HIV status; however, it goes on to suggest that ""some specialists recommended additional treatments for HIV-infected patients"", namely 3 doses, each a week apart. There is no reference and evidence of strength of the suggestion but only specialists' opinion.||In the study, we aim to compare serologic response of syphilis to penicillin treatment between HIV-infected and HIV-uninfected patients and to compare serologic response of early syphilis (primary or secondary) to 1 dose and 3 doses of benzathine penicillin G among HIV-infected patients. A longitudinal follow-up of serologic response will be conducted after syphilis treatment.","Serologic Response of Syphilis|Early Syphilis|High Risk Behavior","No","Observational","January 2007","June 2013",,,,"All",,"20 Years",,,"Taiwan|Taiwan",,"1128",,
5003,"Unknown status","Exploratory study of anti-pneumococcal immune response in patients with Anti-neutrophil cytoplasmic antibody (ANCA)-associated vasculitis (AAV) immunized according to new vaccine recommendations (i.e. with a combined vaccine schedule (13-valent conjugate pneumococcal vaccine -PCV13- followed by a 23-valent non-conjugate pneumococcal vaccine -PPV23- 8 weeks later).","Pneumococcal Infection|ANCA-associated Vasculitis","No","Observational","June 2015","November 2018",,,,"All",,"18 Years",,,"France",,"30",,
5004,"Completed","Descriptive study of the residual anti-pneumococcal immunity in patients with Anti-neutrophil cytoplasmic antibody (ANCA)-associated vasculitis (AAV) who have previously gone through pneumococcal immunization.","Pneumococcal Infection|ANCA-associated Vasculitis","No","Observational","September 2015","August 2016",,,,"All",,"18 Years",,,"France",,"19",,
5005,"Completed","This observational Mycobacterium tuberculosis (MTB) diagnostics evaluation study is a longitudinal study of pulmonary TB suspects who are undergoing sputum evaluation for pulmonary TB. The sensitivity and specificity of the Xpert MTB/RIF (Mycobacterium tuberculosis/rifampin) assay performed on the first sputum collected for Xpert testing will be compared to gold standard conventional culture methods on two sputum specimens, in HIV-infected and HIV-uninfected participants.","Tuberculosis","No","Observational","May 2012","February 21, 2014",,,,"All",,"18 Years",,,"United States",,"992",,
5006,"Completed","Mycoplasma pneumoniae, an important pathogen of community acquired pneumonia,are becoming more and more resistant to macrolide. The study aim is to optimize anti-infection therapy.","Mycoplasma Pneumonia","No","Interventional","October 2010","December 2014","Moxifloxacin|Cephalosporins and azithromycin","Drug|Drug","Not Applicable","All","60 Years","18 Years","Treatment","Parallel Assignment","China","Randomized","208",,
5007,"Active, not recruiting","Syphilis is an important sexually transmitted infection. There has been an epidemic of syphilis amongst men who have sex with men in the United Kingdom in the last decade. Early infection with syphilis causes a genital ulcer followed, in the absence of treatment, by a generalised illness often accompanied by rash. Studies on syphilis have been limited because it is not possible to grow syphilis outside of the body. New approaches allow the whole genetic sequence of Treponema pallidum to be obtained from a swab.||In this study residual DNA collected as part of routine patient care of patients seen at sexual health clinics in the UK will be used for sequencing. No patient contact is involved in the study which is limited to whole genome sequencing using residual material from samples. By better understanding the genome of the T.pallidum insights will be gained in to the pathogenesis of this important sexually transmitted disease.","Syphilis","No","Observational","October 8, 2018","December 2021","Whole Genome Sequencing","Diagnostic Test",,"All",,"18 Years",,,"United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom",,"300",,
5008,"Completed","The purpose of this study is to compare the efficacy of 15-day versus 10-day doxycycline treatment in patients with erythema migrans.","Erythema Chronicum Migrans","Accepts Healthy Volunteers","Interventional","June 2009","November 2010","doxycycline|doxycycline|placebo","Drug|Drug|Drug","Not Applicable","All",,"15 Years","Other","Parallel Assignment","Slovenia","Randomized","306",,"24|32|0"
5009,"Completed","Infection with Mycobacterium tuberculosis remains at epidemic levels globally. Innate and adaptive immune responses evolve as protective mechanisms against mycobacterial infection in humans. Toll-like receptors (TLRs) are transmembrane proteins characterized by an extracellular leucine-rich domain that participates in ligand recognition and an intracellular tail. TLRs are the first defense system to detect potential pathogens, initiate immune responses and form the crucial link between innate and adaptive immune systems. Stimulation of TLR initiates a signaling cascade that involves a number of proteins, such as MyD88 and IL-1 receptor-associated kinase. This signal cascade leads to NF-κB activation, which induce the secretion of pro-inflammatory cytokines.||TLR2 is a family of TLR family and has been reported to be the principle mediator of macrophage activation in response to mycobacterium. Growing amounts of data suggest that the ability of certain individuals to respond properly to TLR ligands may be impaired by single nucleotide polymorphisms (SNPs) within TLR genes, resulting in an altered susceptibility to, or course of, infectious disease. The genetic polymorphism of TLR2 (arginine to glutamine substitution at residue 753 (Arg753Gln)) has been associated with a negative influence on TLR2 function, which may, in turn, determine the innate host response to mycobacteria. In addition, another polymorphism (Arg677Trp) of the TLR2 was reported to be associated with susceptibility to tuberculosis in Tunisian patients. Moreover, in Mycobacterium leprosy patients with TLR2 mutation (Arg677Trp), production of IL-2, IL-12, IFN-gamma, and TNF-alpha by M. leprae-stimulated peripheral blood mononuclear cell were decreased compared with that in groups with wild-type TLR2.||To date, there have been no studies of the association of SNPs of TLR2 with cytokine profiles and clinical outcomes on M. tuberculosis. We hypothesize that polymorphisms in the TLR2 are associated with :||increased prevalence of active pulmonary TB infection,|altered levels of pro-inflammatory and anti-inflammatory cytokines in serum,|clinical outcomes and presentations. We thus design a prospective case-control study to test this hypothesis. The frequency of TLR2 polymorphisms in both pulmonary TB patients and healthy controls will be determined by polymerase chain reaction-restriction fragment length polymorphism. Serial serum levels of IL-12, IFN-γ, and IL-10 in pulmonary TB patients with or without TLR2 polymorphisms will be measured by enzyme linked immunosorbent assay. Relationships between TLR2 polymorphisms and serum cytokines dynamics or clinical outcomes will be analyzed.","Pulmonary Tuberculosis|Genetic Variants of Host|Immune Response of Host","Accepts Healthy Volunteers","Observational","August 2006","November 2009",,,,"All","90 Years","20 Years",,,"Taiwan|Taiwan",,"300",,
5010,"Recruiting","This is pilot study of the immunologic effects of intradermal Bacille Calmette-Guerin (BCG) vaccination of adults with cystic fibrosis (CF), non-CF bronchiectasis (NCFB), and healthy volunteers.","Cystic Fibrosis|Bronchiectasis Adult|Non-Tuberculous Mycobacteria","Accepts Healthy Volunteers","Interventional","April 28, 2021","June 30, 2023","BCG TICE Vaccine","Biological","Phase 2","All","65 Years","18 Years","Prevention","Parallel Assignment","United States","Non-Randomized","180",,
