"APIVrs: 1.01.03"
"DataVrs: 2021:10:13 22:57:14.023"
"Expression: bacterial infection"
"NStudiesAvail: 392193"
"NStudiesFound: 7653"
"MinRank: 1"
"MaxRank: 1000"
"NStudiesReturned: 1000"
"Field Names: OverallStatus,BriefSummary,Condition,HealthyVolunteers,StudyType,StartDate,CompletionDate,InterventionName,InterventionType,Phase,Gender,MaximumAge,MinimumAge,DesignPrimaryPurpose,DesignInterventionModel,LocationCountry,DesignAllocation,EnrollmentCount,EventGroupDeathsNumAffected,EventGroupSeriousNumAffected"

"Rank","OverallStatus","BriefSummary","Condition","HealthyVolunteers","StudyType","StartDate","CompletionDate","InterventionName","InterventionType","Phase","Gender","MaximumAge","MinimumAge","DesignPrimaryPurpose","DesignInterventionModel","LocationCountry","DesignAllocation","EnrollmentCount","EventGroupDeathsNumAffected","EventGroupSeriousNumAffected"
1,"Completed","The aim of the study is to determine the frequency of sub-optimal care in the initial care (before arrival at the intensive care unit) of children from ""West France regions"" suffering of severe bacterial infections.The characteristic ""optimal or not"" of the initial medical care will be determined by 2 independent experts, blinded from each other and blinded from the issue of the care. In case of a discordance between the two experts, a third expert will be demanded. Three possibilities of conclusion will be proposed to the experts: ""sure sub-optimal medical care"", ""possible suboptimal care"" and ""optimal care"".","Bacterial Infection","No","Interventional","August 13, 2009","January 2014","Retrospective examination by experts whether care given fo child admitted at the ICU for suspicion of bacterial infection (not nosocomial) was optimal or not","Other","Not Applicable","All","16 Years","1 Month","Health Services Research","Single Group Assignment","France","N/A","371",,
2,"Recruiting","Acute upper respiratory tract infection(AURI) is common in children, and viral infection is the main cause. However, several children with viral infection are easy to suffer from secondary bacterial infection, and the mechanism is unclear.","Viral Infection|Bacterial Infections|Lactate Blood Increase","No","Observational","January 1, 2021","December 31, 2023","viral infection|viral and bacterial infection","Other|Other",,"All","18 Years",,,,"China",,"400",,
3,"Not yet recruiting","The main purpose of this monocentric, non-interventional, prospective study carried out in acute geriatrics (UGA) and post-rehabilitation care, is to determine if eosinopenia is associated with bacterial infections.","Fever|Leukocytes|C Reactive Protein (CRP) is Less Than 20 mg/ l","No","Observational","September 2020","May 2022",,,,"All",,"75 Years",,,"France",,"140",,
4,"Completed","This project aims to assess the clinical and microbiological efficacy of fosfomycin(FOM) in patients with bacterial infection.||Primary objective:||• To assess clinical and microbiological efficacy of FOM in patients with bacterial infection.||Secondary objectives:||To determine the rate and severity of unexpected adverse events.|To determine the mean duration of therapy with FOM in patients with bacterial infection.||Study design:||Multi-center, non-interventional study","Bacterial Infection","No","Observational","August 2010","December 2016",,,,"All",,,,,"Austria|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany",,"209",,
5,"Completed","NSAIDs are widely consumed, and some are currently available for self-medication with indications 'Pain and Fever' (Cavalié, National Agency for Drug Safety (ANSM), 2014)|There is no recommendation to limit their use in bacterial infections except for chicken pox in children.|To date, no study has highlighted the aggravating role of exposure to NSAIDs on bacterial infections in adults, based on the usual septic severity Levy's score (SSS), and mortality, but it delays adequate antibiotics (Legras, Critical Care, 2009)|Community-acquired bacterial infections in adults exposed to NSAIDs are serious by their spread (multiple locations), and suppurative character requiring frequent use of invasive procedures such as surgery or drainage. The SSS does not reflect the seriousness of these infections. They are frequently associated with use of ibuprofen (63.4%), and self-medication practices (65.5%).||The main hypothesis is that NSAIDs exposure is associated with a specific severity of community-acquired bacterial infection, marked by dissemination, suppurative complications or even invasive procedures requirement.||Our objectives are also to:||Describe what NSAID use terms are associated to the risk of serious bacterial infections: molecule, dosage, duration of exposure, access (prescription or self-medication), associated drugs.|To determine what type (s) (s) of bacterial infection is worsened by exposure to NSAIDs.|To determine if other risk factors contribute to severity of bacterial community acquired infection|To describe hospital costs associated to such severity of bacterial infection","Bacterial Infection","No","Observational","September 22, 2016","April 10, 2018",,,,"All",,"18 Years",,,,,"335",,
6,"Completed","Bacterial infections in people who inject psychoactive substances","Bacterial Infection","No","Observational","January 17, 2012","January 1, 2019",,,,"All",,"18 Years",,,"France",,"117",,
7,"Unknown status","Background : The occurrence of Primary immune deficiencies (PID) is rare in adults. Antibody deficiencies were the first PID to be diagnosed in adulthood and are mainly represented by common variable immune deficiency. The main manifestation of these PID are encapsulated bacterial infection which used to be recurrent and/or invasive, lead to hospitalization and have high rates of morbidity and mortality. Diagnosis of PID in adulthood may be supported by six warning signs from the European Society of Immunodeficiencies (ESID). However, their guidelines do not comprehensively describe symptoms of PID, even for patients with infections. The guidelines recommend screening adults for PID after at least two severe bacterial infections. The aim of this study is to screen for PID adult admitted to our hospital for encapsulated infection without any predisposal factor.||Material and methods :||Monocentric study. Inclusion between September 218 and September 2021||Inclusion criteria :||Age 18 to 65 years old|Invasive encapsulated infection (Streptococcus pneumoniae, Streptococcus pyogènes, Haemophilus influenzae, Neisseiria meningitidis or Neisseria gonorrhoeae )||Exclusion criteria :||Medical history of PID|Medical history of Secondary immune deficiency (SID)|Local-regional factor that could predispose them to infection|Hospital-acquired infection|PID screening included the following: complete blood count, blood smear, immunoglobulin (Ig) isotype (IgA,M, G) and IgG subclass levels, total hemolytic complement and complement fractions (C) 3 and 4, alternative complement pathway (AP50) in case of Neisseria meningitidis (NM) infection, quantitative immunophenotyping of T, B and natural killer cells, specific antibody response to diphtheria, tetanus and pneumococcal vaccine and HIV serology. The clinical and laboratory diagnostic criteria used to identify PID were based on guidelines from the ESID and the Pan-American Group for Immunodeficiency (PAGID)|A consultation in the infectious Diseases Department or Internal Medicine will be scheduled the hospitalization 3 months later to include patients and perform PID screening.","Immune Deficiency","No","Observational","September 1, 2018","September 1, 2021",,,,"All","65 Years","18 Years",,,"France",,"50",,
8,"Completed","The ""gold standard"" for diagnosing a bacterial infection is isolation of the pathogenic germ, which is not easy in routine clinical practice.||Conventional markers do not have sufficient diagnostic value for making a rapid diagnosis on admission. A 2004 literature calculated the diagnostic values of C-reactive protein (CRP) and procalcitonin (PCT) levels for the diagnosis of bacterial infections, relative to other causes of inflammation. For CRP, the sensitivity was 75% (95% CI: 62%-84%) and the specificity was 67% (95% CI: 56%-77%). For PCT, the sensitivity was 88% (95% CI: 62%-84%) and the specificity was 81% (95% CI: 67%-90%).||The first cellular immune response to infection consists of the mobilization of polynuclear neutrophils from the bone marrow to the infection site under the effect of pre-inflammatory cytokines, as well as the apoptosis of lymphocytes and their sequestration at the infection site. This results in lymphopenia and the elevated polynuclear neutrophil count (PNN) observed in bacterial infections.||Hence, it is legitimate to hypothesize that the neutrophil to lymphocyte ratio (NLR) can be used in the diagnosis of bacterial infection. This ratio's value in the diagnosis of sepsis in the emergency department was studied and the researchers found higher diagnostic values than for CRP and PCT.||The NLR's potential value in the diagnosis of a bacterial infection in a context of fever or hyperthermia (regardless of the presence or absence of bacteraemia) has not been studied before. This ratio could also be compared with standard biomarkers (CRP and PCT levels, the white blood cell count and the PNN).","Bacterial Infections","No","Observational","February 6, 2016","September 12, 2016","neutrophil to lymphocyte ratio","Biological",,"All",,"18 Years",,,"France",,"479",,
9,"Completed","The primary objective is to study the value of serum procalcitonin as a predictive marker for severe bacterial infection in febrile infants.||2200 febrile infants aged less than 3 months will prospectively be included. All infants will have a measure of Procalcitonin concentrations. Comparison of the mean value of Procalcitonin concentration in infants with and without serious Bacterial infection.||Evaluation of the area under the ROC for Procalcitonin concentration.","Fever|Bacterial Infection","No","Observational","October 2008","April 2011",,,,"All","3 Months",,,,"France",,"2209",,
10,"Unknown status","Fever is one of the most common problems in pediatrics. Differentiating between bacterial infections, that require antibiotic therapy, and viral infections that resolve on their own is an important challenge for physicians.||C-reactive protein (CRP) is a protein that increases in response to inflammation and its level is generally higher in bacterial infections compared to viral infections. it can be measured by a simple blood test, however its utility as a sole marker for bacterial infection is limited.||The hypothesis of the study is that measuring CRP velocity, e.g the value of CRP divided by the hours since the fever started will improve the utility of CRP for the diagnosis of bacterial infections in children.","Bacterial Infections|Viral Infection","No","Observational","September 2010","September 2011",,,,"All","5 Years",,,,,,"200",,
