"APIVrs: 1.01.03"
"DataVrs: 2021:10:13 22:57:14.023"
"Expression: bacterial infection"
"NStudiesAvail: 392193"
"NStudiesFound: 7653"
"MinRank: 6001"
"MaxRank: 7000"
"NStudiesReturned: 1000"
"Field Names: OverallStatus,BriefSummary,Condition,HealthyVolunteers,StudyType,StartDate,CompletionDate,InterventionName,InterventionType,Phase,Gender,MaximumAge,MinimumAge,DesignPrimaryPurpose,DesignInterventionModel,LocationCountry,DesignAllocation,EnrollmentCount,EventGroupDeathsNumAffected,EventGroupSeriousNumAffected"

"Rank","OverallStatus","BriefSummary","Condition","HealthyVolunteers","StudyType","StartDate","CompletionDate","InterventionName","InterventionType","Phase","Gender","MaximumAge","MinimumAge","DesignPrimaryPurpose","DesignInterventionModel","LocationCountry","DesignAllocation","EnrollmentCount","EventGroupDeathsNumAffected","EventGroupSeriousNumAffected"
6001,"Recruiting","The purpose of this study is to identify and elucidate the pattern and perhaps role of atypical proteins, cytokines and vaginal microbial flora in the pathogenic mechanisms involved in the development of vulvodynia, recurrent fungal and bacterial vaginosis and preterm labor.","Vulvodynia|Mycoses|Bacterial Vaginosis|Preterm Labor","Accepts Healthy Volunteers","Observational","April 2013","December 2027",,,,"Female","75 Years","21 Years",,,"United States",,"550",,
6002,"Recruiting","This study aims to obtain the lacrimal fingerprint for frequent pathologies of the ocular surface and establish a normative base for each of them.","Dry Eye Syndrome|Infectious Keratoconjunctivitis|Mucous Membrane Pemphigoid|Allergic Conjunctivitis","Accepts Healthy Volunteers","Observational","February 1, 2020","January 2025","Tear sample collection via Schirmer strip and subsequent analysis by mass spectrometry","Diagnostic Test",,"All",,"18 Years",,,"Canada|Canada",,"300",,
6003,"Unknown status","To compare the pharmacokinetic behavior of azithromycin eye drops in the tear with the original azithromycin eye drops, and evaluate the release behavior of both in the eye.","Bacterial Conjunctivitis","Accepts Healthy Volunteers","Interventional","July 7, 2017","December 30, 2017","azithromycin eye drops by essex|azithromycin eye drops","Drug|Drug","Phase 1","All","65 Years","18 Years","Treatment","Crossover Assignment","China","Randomized","56",,
6004,"Recruiting","Previous research has shown that semen deposition in the vagina after intercourse leads to dripping, discomfort, and vaginal odor. This study is evaluating a hygiene device designed to be inserted into the vagina after intercourse to absorb semen deposited into the vaginal canal to determine if there is a reduction in dripping and odor, and to determine the amount of fluids absorbed.","Vaginal Discharge|Dyspareunia|Female Sexual Dysfunction|Vaginitis|Bacterial Vaginoses","Accepts Healthy Volunteers","Interventional","April 5, 2021","September 15, 2021","Tampon-like device for absorption of sexual fluids","Device","Not Applicable","Female","50 Years","25 Years","Treatment","Parallel Assignment","United States","Non-Randomized","30",,
6005,"Completed","The primary objective is to investigate the ability of systemic intravenous antibiotic plus antibiotic/anti-biofilm (i.e. N-acetylcysteine) lock catheter technique in eradicating uncomplicated catheter associated bacteremia and salvaging the infected vascular catheter. Secondary objectives include duration to clearance of bacteremia, future recurrence of bacteremia, need for catheter removal and death.","End-Stage Renal Disease|Hemodialysis Catheter-associated Infection","No","Interventional","October 2006","December 2009","catheter lock solution consisting of N-acetylcystein, tigecycline and heparin","Drug","Phase 1","All","100 Years","18 Years","Treatment","Single Group Assignment","United States|United States|United States","N/A","18",,
6006,"Unknown status","The purpose of this study is to investigate the risk factor, molecular character and susceptibility change for recurrent ESBL-producing Enterobacteriaceae bacteremia","Bacteremia","No","Observational","July 2011","December 2012",,,,"All",,"18 Years",,,"Taiwan",,"400",,
6007,"Recruiting","Evaluate the diagnostic performance of the Gyni™ device to detect different vaginitis conditions by comparison to microscopic diagnosis and related lab tests.","Bacterial Vaginosis|Candida Albicans Vulvovaginitis|Candida Vulvovaginitis|Trichomonas Vaginitis|Atrophic Vaginitis|Desquamative Inflammatory Vaginitis","No","Observational","December 1, 2020","December 2021",,,,"Female",,"18 Years",,,"Israel",,"200",,
6008,"Completed","The purpose of this study is to determine if there are microbiologic alterations of the ocular surface after hot tub exposure. The study will evaluate the number of microbes before and after hot tub use in order to find out whether hot tub exposure has any change on the organisms present on the ocular surface. Participants will be randomized to dunk or not to dunk their head during their time in the hot tub.","Conjunctivitis, Bacterial|Keratitis Bacterial","Accepts Healthy Volunteers","Interventional","May 27, 2019","March 26, 2020","Dunk|Exposure to Hot Tub","Behavioral|Other","Not Applicable","All",,"18 Years","Prevention","Parallel Assignment","United States","Randomized","36",,
6009,"Active, not recruiting","This study will test the hypothesis that reliable implementation of an evidence-based clinical practice guideline for evaluation of patients with signs and symptoms of sepsis will decrease antibiotic use in pediatric intensive care units (PICUs).","Sepsis|Bacteremia","No","Observational","April 1, 2018","March 2022","Multicenter Quality Improvement program","Other",,"All",,,,,"United States|United States|United States|United States|United States",,"15",,
6010,"Recruiting","VAPERO is a randomized, unblinded, controlled study to measure the impact of a strategy based on the Unyvero® multiplex PCR test on the adjustment of antimicrobial therapy in patients suspected with ventilator-associated or hospital-acquired pneumonia (VAP/HAP) requiring mechanical ventilation. The gold-standard microbiological diagnostic method for pneumonia in the ICU is still culture-based identification and antimicrobial susceptibility testing (AST) despite being more than a hundred years old, with results turnaround time spanning over several days, exposing patients to potentially inappropriate broad-spectrum antimicrobial therapy. The investigators aim to measure the impact of the Unyvero® testing strategy to improve the percentage of patients with VAP or HAP receiving early targeted antimicrobial therapy compared to standard care.","Pneumonia, Ventilator-Associated|Pneumonia, Bacterial","No","Interventional","June 16, 2020","June 2022","FilmArray® Pneumonia panel plus|Standard care","Other|Other","Not Applicable","All",,"18 Years","Treatment","Parallel Assignment","France","Randomized","160",,
