"APIVrs: 1.01.03"
"DataVrs: 2021:10:13 22:57:14.023"
"Expression: bacterial infection"
"NStudiesAvail: 392193"
"NStudiesFound: 7653"
"MinRank: 3001"
"MaxRank: 4000"
"NStudiesReturned: 1000"
"Field Names: OverallStatus,BriefSummary,Condition,HealthyVolunteers,StudyType,StartDate,CompletionDate,InterventionName,InterventionType,Phase,Gender,MaximumAge,MinimumAge,DesignPrimaryPurpose,DesignInterventionModel,LocationCountry,DesignAllocation,EnrollmentCount,EventGroupDeathsNumAffected,EventGroupSeriousNumAffected"

"Rank","OverallStatus","BriefSummary","Condition","HealthyVolunteers","StudyType","StartDate","CompletionDate","InterventionName","InterventionType","Phase","Gender","MaximumAge","MinimumAge","DesignPrimaryPurpose","DesignInterventionModel","LocationCountry","DesignAllocation","EnrollmentCount","EventGroupDeathsNumAffected","EventGroupSeriousNumAffected"
3001,"Completed","The primary objective is to prospectively follow 200 women with or at risk of cervicitis to determine the chlamydia-specific cellular responses that correlate with protection against incident infection. The hypothesis is that a positive IFN-y response by peripheral CD4+ T cells responding to stimulation with HSP60 will be significantly associated with protection from incident C. trachomatis infection.","Chlamydia","No","Observational","January 2011","August 2015","ceftriaxone|Azithromycin","Drug|Drug",,"Female","35 Years","15 Years",,,"United States|United States|United States|United States",,"347",,
3002,"Terminated","To study the optimal timing to initiate antiretroviral therapy in HIV-infected patients who are receiving tuberculosis treatment between at 4 weeks and at 12 weeks after tuberculosis treatment by comparing the composite end point of death rate, hospitalization rate and adverse drug reactions at week 48, 96 and 144.","HIV Infections|Tuberculosis","No","Interventional","October 2009","May 2011","tenofovir, lamivudine, efavirenz","Drug","Phase 4","All","65 Years","18 Years","Treatment","Parallel Assignment","Thailand","Randomized","156",,
3003,"Completed","Mycobacterium Vaccae for Injection (Trade Name ""Vaccae"") is a kind of bio-products developed by Anhui Zhifei Longcom Biopharmaceutical Co.,Ltd.,and got ""The New Drug Certificate ""in 1999. Vaccae has been approved for adjuvant therapy of tuberculosis(TB), and is also the only recommended drug in TB immunotherapy by WHO. It was approved for production and sale by Anhui Zhifei Longcom Biopharmaceutical Co.,Ltd. in 2001, and got favourable comment in therapy of tuberculosis.||The purpose of this study is to add new indications for Vaccae, mainly to prevent Tuberculosis for high risk groups of Tuberculosis Infection . In December 2012, China Food and Drug Administration approved of the plan ""Phase III Clinical Study of Efficacy and Safety of Mycobacterium Vaccae to Prevent Tuberculosis in high risk groups of Tuberculosis Infection"". In the test, 10,000 cases whose skin tests of PPD are strongly positive are enrolled. Using random, double-blind, and placebo-controlled methods, the study is carried out to evaluate the efficacy and safety of Vaccae in preventing Tuberculosis. Meanwhile, in this test, TB incidence and degree of pathological changes of experimental group are lower than that of control group, and no drug-related SAEs are reported in treatment groups.","Tuberculosis","Accepts Healthy Volunteers","Interventional","October 2013","November 26, 2017","Vaccae|placebo","Drug|Drug","Phase 3","All","65 Years","15 Years","Prevention","Parallel Assignment","China|China|China|China","Randomized","10000",,
3004,"Unknown status","The IHU Mediterranean infection is national reference centre for Q fever. Coxiella burnetii is the bacteria responsible of this infection. The bacterium Coxiella burnetii infection is associated with secretion by the body both many antibodies against the bacteria but also against certain cells of the body (autoantibodies). These autoantibodies may have no effect or be associated with specific symptoms. Anti-Phospholipid antibodies are especially prevalent in the Q fever. Apart from this infection, they are associated with thrombocytopenia, obstetric complications, thrombosis and heart valve damage. These conditions have also been described as complications during Q fever. In a retrospective preliminary work on Q fever, we have shown that the presence of high levels of IgG anti-cardiolipin was associated with the presence of valvular and the evolution to endocarditis. Such associations have a therapeutic involvement and must therefore be confirmed. Indeed, if these associations were confirmed, a trans-esophageal ultrasound could be systematically proposed to patients with valvular disease of trans-thoracique ultrasound but IgG anticardiolipin high levels. Other special attention could be given to patients with high autoantibodies.","Q Fever|Auto-Immunity","No","Interventional","July 2013","January 2019","Blood sampling","Biological","Not Applicable","All",,"18 Years",,"Parallel Assignment","France","Randomized","300",,
3005,"Unknown status","Data will be extracted from the NTUH medical records database, geocoded according to the street address so that the case number, incidence, etc could be mapped. The spatial data would be used to detect aggregation of TB cases, existence of ""hot spots"" and then determine if they may merit further investigation or may have occurred by chance. The results from these GIS-based analyses would address local variations in TB incidence and transmission.","Tuberculosis","No","Observational","October 2008","July 2009",,,,"All",,,,,"Taiwan",,"1000",,
3006,"Recruiting","Mycobacterium abscessus (MABS) is a group of rapid-growing, multi-drug resistant non-tuberculous mycobacteria (NTM) causing infections in humans. MABS pulmonary disease (MABS-PD) can result in significant morbidity, increased healthcare utilisation, accelerated lung function decline, impaired quality of life, more challenging lung transplantation, and increased mortality. While the overall numbers affected is small, the prevalence of infections is increasing worldwide. The Finding the Optimal Regimen for Mycobacterium abscessus Treatment (FORMaT) trial aims to produce high quality evidence for the best treatment regimens to maximise health outcomes and minimise toxicity and treatment burden, as well as developing biomarkers (serology, gene expression signatures, and radiology) to guide decisions for starting treatment and measuring disease severity in patients with MABS PD","Pulmonary Disease Due to Mycobacteria (Diagnosis)","No","Interventional","March 2, 2020","August 31, 2023","Amikacin|Tigecycline|Imipenem|Cefoxitin|Azithromycin|Clarithromycin|Clofazimine|Ethambutol|Amikacin|Linezolid|co-trimoxazole|Doxycycline|Moxifloxacin|Bedaquiline|Rifabutin","Drug|Drug|Drug|Drug|Drug|Drug|Drug|Drug|Drug|Drug|Drug|Drug|Drug|Drug|Drug","Phase 2|Phase 3","All",,,"Treatment","Parallel Assignment","Australia|Australia|Australia|Australia|Australia|Australia|Australia|Australia|Australia|Australia|Australia|Australia|Australia|Australia|Australia|Australia|Australia|Australia|Australia|Australia|Australia|Australia|Australia|Australia|Australia|Australia|Canada|Canada|Denmark|Denmark|France|Ireland|Netherlands|New Zealand|New Zealand|United Kingdom|United Kingdom","Randomized","300",,
3007,"Completed","The aim of the present prospective study was, first, to verify the correlation between biliary colonization and postoperative infectious complications, and secondarily to asses morbidity and mortality for patients who underwent pancreaticoduodenectomy.||The hypothesis is that a proportion of post-operative infections after pancreaticoduodenectomy is due to bacteria that colonize the bile ducts during the preoperative period.","Pancreatic Cancer|Sepsis|Bile Duct Cancer|Duodenal Cancer|Bile Duct; Obliteration|Post-Op Complication|Post-Op Infection|Fistula, Biliary|Fistula|Delayed Gastric Emptying","No","Observational","February 1, 2017","April 2, 2018","Bile sampling for bacterial examination","Other",,"All",,"18 Years",,,"France",,"46",,
3008,"Recruiting","TB remains the foremost infectious disease killer globally. A startling statistic is that two out of every five TB cases globally (40%) remain undiagnosed and untreated. These 'missed' or undiagnosed cases are disproportionately concentrated in large peri-urban 'slums' and informal settlements of large cities in Africa and Asia (they are frequently minimally symptomatic but remain infectious).||The lack of a sensitive low cost same-day test represented a major challenge to active community-based case finding (ACF) compared to the current model where patients 'self-seek' care (passive case finding). More recently, sensitive TB DNA-detection tests called Gene Xpert (Xpert) have become available. This is a nucleic acid amplification test-based technology which can rule-in a diagnosis of TB in two thirds of smear negative pulmonary TB cases. GeneXpert® has now been rolled out in many African countries and is the frontline TB test in primary care clinics in South Africa. The investigators recently showed that GeneXpert® significantly reduced the time to treatment initiation in the setting of passive case finding (elaborated in next section). The investigators further showed that GeneXpert® can be performed by a minimally trained healthcare worker. However, historically technical and logistical demands meant that the GeneXpert® MTB-RIF assay was not ideally suited to use at point of care and in South Africa it is still centrally located.||Small portable battery-operated versions of these tests are now available (EDGE, GeneXpert two-module mobile platform). The investigators conducted a large study in South Africa and Zimbabwe (published in 2016) that showed that using the old non-portable version of Xpert on a mini-truck equipped with a generator was feasible and highly effective for ACF. A subsequent study funded by the American government (XACT II), showed that using the portable version of Xpert on the back of a small low-cost scalable panel van (in effect a mobile mini-clinic) was feasible and had a very high pick-up rate of TB in peri-urban communities (~10% of those undergoing targeted screening). In this study, the investigators will test the hypothesis that community-based active case finding (ACF) using Gene Xpert Edge (in a low cost scalable mini-mobile clinic) performed at point-of-care (POC) is feasible and more effective (lower proportion of TB cases failing to initiate treatment especially if they are 'super-spreaders' i.e. highly infectious) than Xpert performed in a centralised laboratory.","Tuberculosis","No","Interventional","March 26, 2021","December 1, 2024","GeneXpert Edge|GeneXpert Ultra","Other|Other","Not Applicable","All","70 Years","18 Years","Screening","Parallel Assignment","Mozambique|South Africa|Zambia|Zimbabwe","Randomized","3375",,
3009,"Completed","An estimated 3 million HIV-infected individuals will enter programs for antiretroviral (ARV) treatment in the coming year, with projected rates of requirement for ARV therapy extending to more than 10 million in sub-Saharan Africa, southeastern Asia, and Latin America in the coming decade. In these settings, Tuberculosis (TB) is an endemic infection in the population, and an estimated 30-60% of adults have been infected with TB, the leading opportunistic infection associated with HIV infection. The purpose of this study is to construct a standardized diagnostic evaluation (SDE) for TB that provides an increase in identification of participants with active pulmonary TB, without sacrificing specificity.","HIV Infections|Tuberculosis","No","Observational","December 2009","March 2011","Standardized diagnostic evaluation","Other",,"All",,"13 Years",,,"Botswana|Botswana|Brazil|India|India|Malawi|Peru|Peru|South Africa|South Africa|South Africa|South Africa|Zimbabwe",,"801",,
3010,"Recruiting","The purpose of this study is to compare the efficacy and safety of 26 weeks of delamanid (DLM) versus 26 weeks of isoniazid (INH) for preventing confirmed or probable active tuberculosis (TB) during 96 weeks of follow-up among high-risk household contacts (HHCs) of adults with multidrug-resistant tuberculosis (MDR-TB) (index cases). High-risk HHCs are those with HIV or non-HIV immunosuppression, latent TB infection, and young children below the age of 5 years.","Tuberculosis, MDR","Accepts Healthy Volunteers","Interventional","June 3, 2019","October 15, 2025","Delamanid (DLM)|Isoniazid (INH)|Pyridoxine (vitamin B6)","Drug|Drug|Dietary Supplement","Phase 3","All",,,"Prevention","Parallel Assignment","Botswana|Brazil|Haiti|Haiti|India|India|Kenya|Peru|Peru|Peru|Philippines|South Africa|South Africa|South Africa|South Africa|South Africa|South Africa|South Africa|South Africa|South Africa|Tanzania|Thailand|Thailand|Thailand|Uganda|Uganda|Zimbabwe","Randomized","5610",,
