"APIVrs: 1.01.03"
"DataVrs: 2021:10:13 22:57:14.023"
"Expression: bacterial infection"
"NStudiesAvail: 392193"
"NStudiesFound: 7653"
"MinRank: 7000"
"MaxRank: 7688"
"NStudiesReturned: 654"
"Field Names: OverallStatus,BriefSummary,Condition,HealthyVolunteers,StudyType,StartDate,CompletionDate,InterventionName,InterventionType,Phase,Gender,MaximumAge,MinimumAge,DesignPrimaryPurpose,DesignInterventionModel,LocationCountry,DesignAllocation,EnrollmentCount,EventGroupDeathsNumAffected,EventGroupSeriousNumAffected"

"Rank","OverallStatus","BriefSummary","Condition","HealthyVolunteers","StudyType","StartDate","CompletionDate","InterventionName","InterventionType","Phase","Gender","MaximumAge","MinimumAge","DesignPrimaryPurpose","DesignInterventionModel","LocationCountry","DesignAllocation","EnrollmentCount","EventGroupDeathsNumAffected","EventGroupSeriousNumAffected"
7000,"Completed","This phase I trial is studying the side effects and best dose of 17-DMAG in treating patients with metastatic or unresectable solid tumors or lymphomas. Drugs used in chemotherapy, such as 17-DMAG, work in different ways to stop cancer cells from dividing so they stop growing or die","Anaplastic Large Cell Lymphoma|Angioimmunoblastic T-cell Lymphoma|Extranodal Marginal Zone B-cell Lymphoma of Mucosa-associated Lymphoid Tissue|Intraocular Lymphoma|Nodal Marginal Zone B-cell Lymphoma|Recurrent Adult Burkitt Lymphoma|Recurrent Adult Diffuse Large Cell Lymphoma|Recurrent Adult Diffuse Mixed Cell Lymphoma|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|Recurrent Adult Hodgkin Lymphoma|Recurrent Adult T-cell Leukemia/Lymphoma|Recurrent Cutaneous T-cell Non-Hodgkin Lymphoma|Recurrent Grade 1 Follicular Lymphoma|Recurrent Grade 2 Follicular Lymphoma|Recurrent Grade 3 Follicular Lymphoma|Recurrent Mantle Cell Lymphoma|Recurrent Marginal Zone Lymphoma|Recurrent Mycosis Fungoides/Sezary Syndrome|Recurrent Small Lymphocytic Lymphoma|Splenic Marginal Zone Lymphoma|Stage III Adult Burkitt Lymphoma|Stage III Adult Diffuse Large Cell Lymphoma|Stage III Adult Diffuse Mixed Cell Lymphoma|Stage III Adult Diffuse Small Cleaved Cell Lymphoma|Stage III Adult Hodgkin Lymphoma|Stage III Adult T-cell Leukemia/Lymphoma|Stage III Cutaneous T-cell Non-Hodgkin Lymphoma|Stage III Grade 1 Follicular Lymphoma|Stage III Grade 2 Follicular Lymphoma|Stage III Grade 3 Follicular Lymphoma|Stage III Mantle Cell Lymphoma|Stage III Marginal Zone Lymphoma|Stage III Mycosis Fungoides/Sezary Syndrome|Stage III Small Lymphocytic Lymphoma|Stage IV Adult Burkitt Lymphoma|Stage IV Adult Diffuse Large Cell Lymphoma|Stage IV Adult Diffuse Mixed Cell Lymphoma|Stage IV Adult Diffuse Small Cleaved Cell Lymphoma|Stage IV Adult Hodgkin Lymphoma|Stage IV Adult T-cell Leukemia/Lymphoma|Stage IV Cutaneous T-cell Non-Hodgkin Lymphoma|Stage IV Grade 1 Follicular Lymphoma|Stage IV Grade 2 Follicular Lymphoma|Stage IV Grade 3 Follicular Lymphoma|Stage IV Mantle Cell Lymphoma|Stage IV Marginal Zone Lymphoma|Stage IV Mycosis Fungoides/Sezary Syndrome|Stage IV Small Lymphocytic Lymphoma|Unspecified Adult Solid Tumor, Protocol Specific|Waldenström Macroglobulinemia","No","Interventional","July 2004",,"alvespimycin hydrochloride|laboratory biomarker analysis","Drug|Other","Phase 1","All",,"18 Years","Treatment","Single Group Assignment","United States","N/A","60",,
7001,"Completed","This phase I trial is studying the side effects and best dose of EMD 121974 in treating patients with solid tumors or lymphoma. Cilengitide (EMD 121974) may stop the growth of cancer cells by stopping blood flow to the cancer","AIDS-related Peripheral/Systemic Lymphoma|AIDS-related Primary CNS Lymphoma|Anaplastic Large Cell Lymphoma|Angioimmunoblastic T-cell Lymphoma|Extranodal Marginal Zone B-cell Lymphoma of Mucosa-associated Lymphoid Tissue|Intraocular Lymphoma|Nodal Marginal Zone B-cell Lymphoma|Recurrent Adult Burkitt Lymphoma|Recurrent Adult Diffuse Large Cell Lymphoma|Recurrent Adult Diffuse Mixed Cell Lymphoma|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|Recurrent Adult Hodgkin Lymphoma|Recurrent Adult Immunoblastic Large Cell Lymphoma|Recurrent Adult Lymphoblastic Lymphoma|Recurrent Adult T-cell Leukemia/Lymphoma|Recurrent Cutaneous T-cell Non-Hodgkin Lymphoma|Recurrent Grade 1 Follicular Lymphoma|Recurrent Grade 2 Follicular Lymphoma|Recurrent Grade 3 Follicular Lymphoma|Recurrent Mantle Cell Lymphoma|Recurrent Marginal Zone Lymphoma|Recurrent Mycosis Fungoides/Sezary Syndrome|Recurrent Small Lymphocytic Lymphoma|Splenic Marginal Zone Lymphoma|Stage III Adult Burkitt Lymphoma|Stage III Adult Diffuse Large Cell Lymphoma|Stage III Adult Diffuse Mixed Cell Lymphoma|Stage III Adult Diffuse Small Cleaved Cell Lymphoma|Stage III Adult Hodgkin Lymphoma|Stage III Adult Immunoblastic Large Cell Lymphoma|Stage III Adult Lymphoblastic Lymphoma|Stage III Cutaneous T-cell Non-Hodgkin Lymphoma|Stage III Grade 1 Follicular Lymphoma|Stage III Grade 2 Follicular Lymphoma|Stage III Grade 3 Follicular Lymphoma|Stage III Mantle Cell Lymphoma|Stage III Marginal Zone Lymphoma|Stage III Mycosis Fungoides/Sezary Syndrome|Stage III Small Lymphocytic Lymphoma|Stage IV Adult Burkitt Lymphoma|Stage IV Adult Diffuse Large Cell Lymphoma|Stage IV Adult Diffuse Mixed Cell Lymphoma|Stage IV Adult Diffuse Small Cleaved Cell Lymphoma|Stage IV Adult Hodgkin Lymphoma|Stage IV Adult Immunoblastic Large Cell Lymphoma|Stage IV Adult Lymphoblastic Lymphoma|Stage IV Cutaneous T-cell Non-Hodgkin Lymphoma|Stage IV Grade 1 Follicular Lymphoma|Stage IV Grade 2 Follicular Lymphoma|Stage IV Grade 3 Follicular Lymphoma|Stage IV Mantle Cell Lymphoma|Stage IV Marginal Zone Lymphoma|Stage IV Mycosis Fungoides/Sezary Syndrome|Stage IV Small Lymphocytic Lymphoma|Unspecified Adult Solid Tumor, Protocol Specific","No","Interventional","December 2003",,"cilengitide","Drug","Phase 1","All",,"18 Years","Treatment","Single Group Assignment","United States","N/A","45",,
7002,"Completed","This pilot phase II trial studies the side effects and how well giving gemcitabine hydrochloride, carboplatin, dexamethasone, and rituximab together works in treating patients with previously treated lymphoid malignancies. Drugs used in chemotherapy, such as gemcitabine hydrochloride, carboplatin, and dexamethasone, work in different ways to stop the growth of cancer cells, either by killing the cells or by stopping them from dividing. Monoclonal antibodies, such as rituximab, can block cancer growth in different ways. Some block the ability of cancer cells to grow and spread. Others find cancer cells and help kill them or carry cancer-killing substances to them. Giving more than one drug (combination chemotherapy) and giving monoclonal antibody therapy with chemotherapy may kill more cancer cells","Adult Nasal Type Extranodal NK/T-cell Lymphoma|Anaplastic Large Cell Lymphoma|Angioimmunoblastic T-cell Lymphoma|Cutaneous B-cell Non-Hodgkin Lymphoma|Extranodal Marginal Zone B-cell Lymphoma of Mucosa-associated Lymphoid Tissue|Hepatosplenic T-cell Lymphoma|Intraocular Lymphoma|Nodal Marginal Zone B-cell Lymphoma|Noncutaneous Extranodal Lymphoma|Peripheral T-cell Lymphoma|Recurrent Adult Burkitt Lymphoma|Recurrent Adult Diffuse Large Cell Lymphoma|Recurrent Adult Diffuse Mixed Cell Lymphoma|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|Recurrent Adult Grade III Lymphomatoid Granulomatosis|Recurrent Adult Hodgkin Lymphoma|Recurrent Adult Immunoblastic Large Cell Lymphoma|Recurrent Adult Lymphoblastic Lymphoma|Recurrent Adult T-cell Leukemia/Lymphoma|Recurrent Cutaneous T-cell Non-Hodgkin Lymphoma|Recurrent Grade 1 Follicular Lymphoma|Recurrent Grade 2 Follicular Lymphoma|Recurrent Grade 3 Follicular Lymphoma|Recurrent Mantle Cell Lymphoma|Recurrent Marginal Zone Lymphoma|Recurrent Mycosis Fungoides/Sezary Syndrome|Recurrent Small Lymphocytic Lymphoma|Small Intestine Lymphoma|Splenic Marginal Zone Lymphoma|Testicular Lymphoma|Waldenstrom Macroglobulinemia","No","Interventional","August 2003","November 2013","gemcitabine hydrochloride|carboplatin|dexamethasone|rituximab","Drug|Drug|Drug|Biological","Phase 2","All",,"18 Years","Treatment","Single Group Assignment","United States","N/A","55",,"0"
7003,"Completed","Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. Phase I trial to study the effectiveness of imatinib mesylate in treating patients who have advanced cancer and liver dysfunction","Accelerated Phase Chronic Myelogenous Leukemia|Acute Undifferentiated Leukemia|AIDS-related Peripheral/Systemic Lymphoma|AIDS-related Primary CNS Lymphoma|Anaplastic Large Cell Lymphoma|Angioimmunoblastic T-cell Lymphoma|Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative|Blastic Phase Chronic Myelogenous Leukemia|Childhood Myelodysplastic Syndromes|Chronic Eosinophilic Leukemia|Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Chronic Myelomonocytic Leukemia|Chronic Neutrophilic Leukemia|Chronic Phase Chronic Myelogenous Leukemia|de Novo Myelodysplastic Syndromes|Essential Thrombocythemia|Extramedullary Plasmacytoma|Extranodal Marginal Zone B-cell Lymphoma of Mucosa-associated Lymphoid Tissue|Gastrointestinal Stromal Tumor|Intraocular Lymphoma|Isolated Plasmacytoma of Bone|Meningeal Chronic Myelogenous Leukemia|Monoclonal Gammopathy of Undetermined Significance|Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable|Nodal Marginal Zone B-cell Lymphoma|Polycythemia Vera|Previously Treated Myelodysplastic Syndromes|Primary Central Nervous System Non-Hodgkin Lymphoma|Primary Myelofibrosis|Primary Systemic Amyloidosis|Progressive Hairy Cell Leukemia, Initial Treatment|Prolymphocytic Leukemia|Recurrent Adult Acute Lymphoblastic Leukemia|Recurrent Adult Acute Myeloid Leukemia|Recurrent Adult Burkitt Lymphoma|Recurrent Adult Diffuse Large Cell Lymphoma|Recurrent Adult Diffuse Mixed Cell Lymphoma|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|Recurrent Adult Hodgkin Lymphoma|Recurrent Adult Immunoblastic Large Cell Lymphoma|Recurrent Adult Lymphoblastic Lymphoma|Recurrent Adult T-cell Leukemia/Lymphoma|Recurrent Cutaneous T-cell Non-Hodgkin Lymphoma|Recurrent Grade 1 Follicular Lymphoma|Recurrent Grade 2 Follicular Lymphoma|Recurrent Grade 3 Follicular Lymphoma|Recurrent Mantle Cell Lymphoma|Recurrent Marginal Zone Lymphoma|Recurrent Mycosis Fungoides/Sezary Syndrome|Recurrent Small Lymphocytic Lymphoma|Refractory Chronic Lymphocytic Leukemia|Refractory Hairy Cell Leukemia|Refractory Multiple Myeloma|Relapsing Chronic Myelogenous Leukemia|Secondary Acute Myeloid Leukemia|Secondary Myelodysplastic Syndromes|Small Intestine Lymphoma|Splenic Marginal Zone Lymphoma|Stage IV Adult Burkitt Lymphoma|Stage IV Adult Diffuse Large Cell Lymphoma|Stage IV Adult Diffuse Mixed Cell Lymphoma|Stage IV Adult Diffuse Small Cleaved Cell Lymphoma|Stage IV Adult Hodgkin Lymphoma|Stage IV Adult Immunoblastic Large Cell Lymphoma|Stage IV Adult Lymphoblastic Lymphoma|Stage IV Adult T-cell Leukemia/Lymphoma|Stage IV Chronic Lymphocytic Leukemia|Stage IV Cutaneous T-cell Non-Hodgkin Lymphoma|Stage IV Grade 1 Follicular Lymphoma|Stage IV Grade 2 Follicular Lymphoma|Stage IV Grade 3 Follicular Lymphoma|Stage IV Mantle Cell Lymphoma|Stage IV Marginal Zone Lymphoma|Stage IV Mycosis Fungoides/Sezary Syndrome|Stage IV Small Lymphocytic Lymphoma|T-cell Large Granular Lymphocyte Leukemia|Unspecified Adult Solid Tumor, Protocol Specific|Untreated Adult Acute Lymphoblastic Leukemia|Untreated Adult Acute Myeloid Leukemia|Untreated Hairy Cell Leukemia|Waldenström Macroglobulinemia","No","Interventional","August 2001",,"imatinib mesylate|pharmacological study","Drug|Other","Phase 1","All",,"15 Years","Treatment","Single Group Assignment","United States","N/A","60",,
7004,"Completed","Drugs used in chemotherapy work in different ways to stop cancer cells from dividing so they stop growing or die. This phase I trial is studying the side effects and best dose of 17-N-allylamino-17-demethoxygeldanamycin in treating patients with advanced epithelial cancer, malignant lymphoma, or sarcoma","AIDS-related Peripheral/Systemic Lymphoma|AIDS-related Primary CNS Lymphoma|Anaplastic Large Cell Lymphoma|Angioimmunoblastic T-cell Lymphoma|Chondrosarcoma|Extranodal Marginal Zone B-cell Lymphoma of Mucosa-associated Lymphoid Tissue|Intraocular Lymphoma|Metastatic Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor|Metastatic Osteosarcoma|Nodal Marginal Zone B-cell Lymphoma|Ovarian Sarcoma|Primary Central Nervous System Non-Hodgkin Lymphoma|Recurrent Adult Burkitt Lymphoma|Recurrent Adult Diffuse Large Cell Lymphoma|Recurrent Adult Diffuse Mixed Cell Lymphoma|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|Recurrent Adult Hodgkin Lymphoma|Recurrent Adult Immunoblastic Large Cell Lymphoma|Recurrent Adult Lymphoblastic Lymphoma|Recurrent Adult Soft Tissue Sarcoma|Recurrent Adult T-cell Leukemia/Lymphoma|Recurrent Cutaneous T-cell Non-Hodgkin Lymphoma|Recurrent Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor|Recurrent Grade 1 Follicular Lymphoma|Recurrent Grade 2 Follicular Lymphoma|Recurrent Grade 3 Follicular Lymphoma|Recurrent Mantle Cell Lymphoma|Recurrent Marginal Zone Lymphoma|Recurrent Mycosis Fungoides/Sezary Syndrome|Recurrent Osteosarcoma|Recurrent Small Lymphocytic Lymphoma|Recurrent Uterine Sarcoma|Small Intestine Lymphoma|Splenic Marginal Zone Lymphoma|Stage IV Adult Burkitt Lymphoma|Stage IV Adult Diffuse Large Cell Lymphoma|Stage IV Adult Diffuse Mixed Cell Lymphoma|Stage IV Adult Diffuse Small Cleaved Cell Lymphoma|Stage IV Adult Hodgkin Lymphoma|Stage IV Adult Immunoblastic Large Cell Lymphoma|Stage IV Adult Lymphoblastic Lymphoma|Stage IV Adult Soft Tissue Sarcoma|Stage IV Adult T-cell Leukemia/Lymphoma|Stage IV Cutaneous T-cell Non-Hodgkin Lymphoma|Stage IV Grade 1 Follicular Lymphoma|Stage IV Grade 2 Follicular Lymphoma|Stage IV Grade 3 Follicular Lymphoma|Stage IV Mantle Cell Lymphoma|Stage IV Marginal Zone Lymphoma|Stage IV Mycosis Fungoides/Sezary Syndrome|Stage IV Small Lymphocytic Lymphoma|Stage IV Uterine Sarcoma|Unspecified Adult Solid Tumor, Protocol Specific","No","Interventional","October 1999",,"tanespimycin|pharmacological study","Drug|Other","Phase 1","All",,"18 Years","Treatment","Parallel Assignment","United States","Non-Randomized","60",,
7005,"Completed","Phase I trial to study genetic testing and the effectiveness of irinotecan in treating patients who have solid tumors and lymphoma. Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. Genetic testing for a specific enzyme may help doctors determine whether side effects from or response to chemotherapy are related to a person's genetic makeup","AIDS-related Peripheral/Systemic Lymphoma|AIDS-related Primary CNS Lymphoma|Anaplastic Large Cell Lymphoma|Angioimmunoblastic T-cell Lymphoma|Extranodal Marginal Zone B-cell Lymphoma of Mucosa-associated Lymphoid Tissue|Intraocular Lymphoma|Nodal Marginal Zone B-cell Lymphoma|Primary Central Nervous System Non-Hodgkin Lymphoma|Recurrent Adult Burkitt Lymphoma|Recurrent Adult Diffuse Large Cell Lymphoma|Recurrent Adult Diffuse Mixed Cell Lymphoma|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|Recurrent Adult Hodgkin Lymphoma|Recurrent Adult Immunoblastic Large Cell Lymphoma|Recurrent Adult Lymphoblastic Lymphoma|Recurrent Adult T-cell Leukemia/Lymphoma|Recurrent Cutaneous T-cell Non-Hodgkin Lymphoma|Recurrent Grade 1 Follicular Lymphoma|Recurrent Grade 2 Follicular Lymphoma|Recurrent Grade 3 Follicular Lymphoma|Recurrent Mantle Cell Lymphoma|Recurrent Marginal Zone Lymphoma|Recurrent Mycosis Fungoides/Sezary Syndrome|Recurrent Small Lymphocytic Lymphoma|Small Intestine Lymphoma|Splenic Marginal Zone Lymphoma|Stage III Adult Burkitt Lymphoma|Stage III Adult Diffuse Large Cell Lymphoma|Stage III Adult Diffuse Mixed Cell Lymphoma|Stage III Adult Diffuse Small Cleaved Cell Lymphoma|Stage III Adult Hodgkin Lymphoma|Stage III Adult Immunoblastic Large Cell Lymphoma|Stage III Adult Lymphoblastic Lymphoma|Stage III Adult T-cell Leukemia/Lymphoma|Stage III Cutaneous T-cell Non-Hodgkin Lymphoma|Stage III Grade 1 Follicular Lymphoma|Stage III Grade 2 Follicular Lymphoma|Stage III Grade 3 Follicular Lymphoma|Stage III Mantle Cell Lymphoma|Stage III Marginal Zone Lymphoma|Stage III Mycosis Fungoides/Sezary Syndrome|Stage III Small Lymphocytic Lymphoma|Stage IV Adult Burkitt Lymphoma|Stage IV Adult Diffuse Large Cell Lymphoma|Stage IV Adult Diffuse Mixed Cell Lymphoma|Stage IV Adult Diffuse Small Cleaved Cell Lymphoma|Stage IV Adult Hodgkin Lymphoma|Stage IV Adult Immunoblastic Large Cell Lymphoma|Stage IV Adult Lymphoblastic Lymphoma|Stage IV Adult T-cell Leukemia/Lymphoma|Stage IV Cutaneous T-cell Non-Hodgkin Lymphoma|Stage IV Grade 1 Follicular Lymphoma|Stage IV Grade 2 Follicular Lymphoma|Stage IV Grade 3 Follicular Lymphoma|Stage IV Mantle Cell Lymphoma|Stage IV Marginal Zone Lymphoma|Stage IV Mycosis Fungoides/Sezary Syndrome|Stage IV Small Lymphocytic Lymphoma|Unspecified Adult Solid Tumor, Protocol Specific","No","Interventional","January 1999",,"irinotecan hydrochloride","Drug","Phase 1","All",,"18 Years","Treatment","Single Group Assignment","United States","N/A","60",,
7006,"Completed","Background: In developing countries, micronutrient deficiency in infants is associated with growth faltering, morbidity, and delayed motor development. One of the potentially low-cost and sustainable solutions is to use locally producible food for the home fortification of complementary foods.||Objective: The objectives are to test the hypothesis that locally producible spirulina platensis supplementation would achieve the following: 1) increase infant physical growth; 2) reduce morbidity; and 3) improve motor development.||Design: 501 Zambian infants are randomly assigned into a control (CON) group or a spirulina (SP) group. Children in the CON group (n=250) receive a soya-maize-based porridge for 12 months, whereas those in the SP group (n=251) receive the same food but with the addition of spirulina. The change in infants' anthropometric status, morbidity, and motor development over 12 months are assessed.","Stunting|Underweight|Pneumonia, Pneumocystis|Cough|Malaria|Fever|Motor Delay","Accepts Healthy Volunteers","Interventional","March 1, 2015","January 30, 2018","Spirulina|Control","Dietary Supplement|Dietary Supplement","Not Applicable","All","18 Months","6 Months","Treatment","Parallel Assignment","Zambia","Randomized","501",,
7007,"Unknown status","In this study, we aim to investigate the incidence of the adverse reactions, the effectiveness and the gene polymorphism associated with the plasma level of sulfamethoxazole-trimethoprim and their metabolites (including N4-acetyl-sulfamethoxazole, sulfamethoxazole hydroxylamine and sulfamethoxazole-nitroso). And we also aim to investigate the factors associated with the sulfamethoxazole-trimethoprim induced acute psychosis.","Pneumocystis Jirovecii Pneumonia","No","Observational","January 2014","December 2017",,,,"All",,"20 Years",,,"Taiwan|Taiwan",,"1000",,
7008,"Recruiting","This phase II trial studies how well talimogene laherparepvec and nivolumab work in treating patients with lymphomas that do not responded to treatment (refractory) or non-melanoma skin cancers that have spread to other places in the body (advanced) or do not responded to treatment. Biological therapies, such as talimogene laherparepvec, use substances made from living organisms that may stimulate or suppress the immune system in different ways and stop tumor cells from growing. Immunotherapy with monoclonal antibodies, such as nivolumab, may help the body's immune system attack the cancer, and may interfere with the ability of tumor cells to grow and spread. Giving talimogene laherparepvec and nivolumab may work better compared to usual treatments in treating patients with lymphomas or non-melanoma skin cancers.","Adenoid Cystic Skin Carcinoma|Adnexal Carcinoma|Anaplastic Large Cell Lymphoma, ALK-Negative|Anaplastic Large Cell Lymphoma, ALK-Positive|Apocrine Carcinoma|Cylindrocarcinoma|Digital Papillary Adenocarcinoma|Endocrine Mucin-Producing Sweat Gland Carcinoma|Extramammary Paget Disease|Extraocular Cutaneous Sebaceous Carcinoma|Hidradenocarcinoma|Keratoacanthoma|Malignant Sweat Gland Neoplasm|Merkel Cell Carcinoma|Microcystic Adnexal Carcinoma|NK-Cell Lymphoma, Unclassifiable|Papillary Adenocarcinoma|Porocarcinoma|Primary Cutaneous Mucinous Carcinoma|Recurrent Mature T-Cell and NK-Cell Non-Hodgkin Lymphoma|Recurrent T-Cell Non-Hodgkin Lymphoma|Refractory Anaplastic Large Cell Lymphoma|Refractory Mature T-Cell and NK-Cell Non-Hodgkin Lymphoma|Refractory Merkel Cell Carcinoma|Refractory Mycosis Fungoides|Refractory Primary Cutaneous T-Cell Non-Hodgkin Lymphoma|Refractory Skin Squamous Cell Carcinoma|Refractory T-Cell Non-Hodgkin Lymphoma|Sezary Syndrome|Signet Ring Cell Carcinoma|Skin Basal Cell Carcinoma|Skin Basosquamous Cell Carcinoma|Skin Squamous Cell Carcinoma|Spiradenocarcinoma|Squamoid Eccrine Ductal Carcinoma|Squamous Cell Carcinoma of Unknown Primary|Sweat Gland Carcinoma|Trichilemmal Carcinoma|Vulvar Squamous Cell Carcinoma","No","Interventional","September 18, 2017","June 1, 2022","Laboratory Biomarker Analysis|Nivolumab|Talimogene Laherparepvec","Other|Biological|Biological","Phase 2","All",,"18 Years","Treatment","Single Group Assignment","United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States","N/A","68",,
7009,"Terminated","This is a multicenter, open-label, phase 1 study conducted to test intratumoral injections of TTI-621 in subjects that have relapsed and refractory percutaneously accessible solid tumors or mycosis fungoides.||The study will be performed in two different parts. Part 1 is the Dose Escalation phase and Part 2 is the Dose Expansion phase.||The purpose of this study is to characterize the safety profile of TTI-621 and to determine the optimal dose and delivery schedule of TTI-621. In addition, the safety and antitumor activity of TTI-621 will be evaluated in combination with other anti-cancer agents or radiation.","Solid Tumors|Mycosis Fungoides|Melanoma|Merkel-cell Carcinoma|Squamous Cell Carcinoma|Breast Carcinoma|Human Papillomavirus-Related Malignant Neoplasm|Soft Tissue Sarcoma","No","Interventional","September 2016","March 31, 2020","TTI-621 Monotherapy|TTI-621 + PD-1/PD-L1 Inhibitor|TTI-621 + pegylated interferon-α2a|TTI-621 + T-Vec|TTI-621 + radiation","Drug|Drug|Drug|Other|Other","Phase 1","All",,"18 Years","Treatment","Parallel Assignment","United States|United States|United States|United States|United States|United States|United States","Non-Randomized","56",,
