"APIVrs: 1.01.03"
"DataVrs: 2021:10:13 22:57:14.023"
"Expression: bacterial infection"
"NStudiesAvail: 392193"
"NStudiesFound: 7653"
"MinRank: 2001"
"MaxRank: 3000"
"NStudiesReturned: 1000"
"Field Names: OverallStatus,BriefSummary,Condition,HealthyVolunteers,StudyType,StartDate,CompletionDate,InterventionName,InterventionType,Phase,Gender,MaximumAge,MinimumAge,DesignPrimaryPurpose,DesignInterventionModel,LocationCountry,DesignAllocation,EnrollmentCount,EventGroupDeathsNumAffected,EventGroupSeriousNumAffected"

"Rank","OverallStatus","BriefSummary","Condition","HealthyVolunteers","StudyType","StartDate","CompletionDate","InterventionName","InterventionType","Phase","Gender","MaximumAge","MinimumAge","DesignPrimaryPurpose","DesignInterventionModel","LocationCountry","DesignAllocation","EnrollmentCount","EventGroupDeathsNumAffected","EventGroupSeriousNumAffected"
2001,"Completed","Primary Objective:||To evaluate the safety and potential efficacy of eculizumab to prevent AMR in sensitized recipients of deceased donor kidney transplants.","Stage V Chronic Kidney Disease","No","Interventional","August 29, 2012","May 24, 2017","Eculizumab","Drug","Phase 2","All",,"18 Years","Treatment","Single Group Assignment","Australia|Australia|Australia|France|France|France|France|France|Italy|Italy|Spain|Sweden|Sweden|United Kingdom|United Kingdom","N/A","80","6","70"
2002,"Completed","The purpose of this study is to evaluate the safety and immunogenicity of sequential administration of Prevnar 13™ and Pneumovax™ 23 in healthy participants 50 years of age and older. The primary hypotheses in the study are that 1) geometric mean titers (GMTs) to pneumococcal serotypes 22F and 33F (serotypes in Pneumovax™ 23 but not in Prevnar 13™) as measured at Week 12 are superior in participants administered Prevnar 13™ on Day 1 and Pneumovax™ 23 at Week 8, as compared with participants administered Prevnar 13™ on Day 1 and placebo at Week 8 and 2) GMTs to pneumococcal serotypes shared by the two vaccines as measured at Week 12 are non-inferior in participants administered Prevnar 13™ followed by Pneumovax™ 23 as compared with participants administered Prevnar 13™ followed by placebo.","Pneumococcal Infections","Accepts Healthy Volunteers","Interventional","August 28, 2014","July 6, 2015","Prevnar 13™|Pneumovax™ 23|Placebo","Biological|Biological|Biological","Phase 3","All",,"50 Years","Prevention","Parallel Assignment",,"Randomized","400","1|0","9|11"
2003,"Completed","The study hypothesis is that the addition of Aurograb to standard vancomycin therapy will improve outcome in MRSA infection.","Staphylococcal Infections","No","Interventional","January 2004","March 2006","Aurograb","Drug","Phase 3","All","80 Years","18 Years","Educational/Counseling/Training","Parallel Assignment","United Kingdom","Randomized","180",,
2004,"Unknown status","To compare the time to pathogen eradication, and the relationship to the time to clinical improvement, between ceftaroline and case-matched vancomycin treated controls in the treatment of adults with serious infections caused by Methicillin-Resistant Staphylococcus aureus (MRSA).","MRSA Infection|Bacteremia|ABSSSI|Pneumonia","No","Observational","December 2012","December 2013",,,,"All",,"18 Years",,,"United States",,"30",,
2005,"Completed","The purpose of this study is to establish a bacterial epidemiology in patients who present a prosthetic joint infection and for which a surgery is necessary. At the time of the first surgery, as the bacteria responsible for the infection are not known, a probabilistic antibiotherapy is initiated at once after the surgical treatment. The antibiotherapy is then adapted to the bacteria from samples collected during the surgery when they are identified (the delay is 14-21 days).||The study will focus on bacteria identified on samples collected during the surgery; the delay between the implantation of the prosthesis and the presentation of symptoms will be considered : more than one year vs. less than one year.||Investigators assume that there is not the same type of bacteria involved in those two cases of delays and that the probabilistic antibiotherapy may be not optimal when the symptoms are presented more than one year after implantation of the prosthesis. A probabilistic antibiotherapy not adapted lead to develop resistance for the bacteria and decrease the chance to cure the patient (increasing of relapse).||The result of this study will allow medical doctors to have an optimal probabilistic antibiotherapy, depending on the delay between implantation of the prosthesis and the presentation of the symptoms.","Joint Infection","No","Observational","June 1, 2016","April 30, 2017",,,,"All",,"18 Years",,,"France",,"567",,
2006,"Not yet recruiting","The goal of this pilot study is to assess the feasibility of randomizing hospitalized patients that are colonized with C. difficile and started on systemic antibiotics to either a probiotic, oral vancomycin, or placebo in a parallel-group 1:1:1 design. The ultimate goal is to conduct an appropriately-powered RCT to determine the optimal method for reducing C difficile infection in colonized patients.","Clostridium Difficile Colonization|Clostridium Difficile Diarrhea","No","Interventional","March 2020","March 2021","Vancomycin|Culturelle|Vancomycin Placebo|Probiotic Placebo","Drug|Dietary Supplement|Drug|Drug","Early Phase 1","All",,"18 Years","Prevention","Parallel Assignment","Canada|Canada","Randomized","100",,
2007,"Completed","This purpose of this study is to Evaluate the Efficacy and Safety of Intravenous Ceftaroline Versus Intravenous Ceftriaxone in the Treatment of Adult Hospitalised Patients With Community-Acquired Bacterial Pneumonia in Asia.","Community-Acquired Bacterial Pneumonia|Lung Infection of Individual Not Recently Hospitalized","No","Interventional","December 2011","May 2013","Ceftaroline|Ceftriaxone","Drug|Drug","Phase 3","All","150 Years","18 Years","Treatment","Parallel Assignment","China|China|China|China|China|China|China|China|China|China|China|China|China|India|India|India|India|India|India|India|India|India|India|India|India|Korea, Republic of|Korea, Republic of|Korea, Republic of|Korea, Republic of|Korea, Republic of|Korea, Republic of|Korea, Republic of|Korea, Republic of|Korea, Republic of|Korea, Republic of|Taiwan|Taiwan|Taiwan|Taiwan|Vietnam|Vietnam|Vietnam|Vietnam","Randomized","848",,"30|29"
2008,"Completed","This is a study to determine the safety and tolerability of 28 days of daily dosing of two doses (280 mg and 560 mg) of Arikayce™ versus placebo in patients who have bronchiectasis and chronic infection due to Pseudomonas infection.","Bronchiectasis","No","Interventional","June 24, 2008","May 11, 2009","280 mg Arikayce™|Matching Placebo for Cohort 1|560 mg Arikayce™|Matching Placebo for Cohort 2","Drug|Drug|Drug|Drug","Phase 2","All",,"18 Years","Treatment","Parallel Assignment","United States|United States|Bulgaria|Greece|Hungary|India|India|India|India|India|India|Poland|Serbia|Serbia|Serbia|Ukraine|United Kingdom|United Kingdom","Randomized","64","0|0|0|0","1|0|1|1"
2009,"Completed","Bacterial vaginosis (BV) develops when the concentration of healthy Lactobacillus species in the vagina declines and is replaced by other bacterial species. BV is the most common vaginal infection worldwide, but the etiology of this complex condition is not clear. BV is associated with a 60% increased risk of HIV acquisition as well as numerous other detrimental reproductive outcomes. A profound racial disparity exists in BV prevalence in women in the United States (US): 23% of white women versus. 52% of black women have BV. The investigators hypothesize that inadequate vitamin D contributes to BV development and/or recurrence. Vitamin D is essential to immune function, serving both to stimulate mechanisms associated with pathogen elimination and to regulate immune response. According to nationally-representative data, 90% of US blacks have insufficient vitamin D levels. In two recent analyses, low vitamin D was associated with higher BV prevalence in pregnant African-Americans; a third replicated this finding in pregnant African-American and white women. The investigators wish to conduct a small, pilot randomized controlled trial (RCT) to assess the effect of vitamin D supplementation among non-pregnant, BV-positive women at a public sexually transmitted disease (STD) clinic. This small (n=150), two-arm, placebo-controlled, masked, 24-week RCT of high-dose vitamin D supplementation will inform the development of future large-scale RCT design and implementation.","Bacterial Vaginosis","Accepts Healthy Volunteers","Interventional","September 2011","January 2013","Vitamin D3 (cholecalciferol)|Placebo","Dietary Supplement|Dietary Supplement","Not Applicable","Female","50 Years","18 Years","Treatment","Single Group Assignment","United States","Randomized","118",,
2010,"Completed","The proposed study is a prospective, open-label, randomized, multi-center trial of ceftaroline versus vancomycin for the treatment of ABSSSI in patients documented or at risk for MRSA. Patients admitted to the Detroit Medical Center, Henry Ford Hospital, or St. John Medical Center in Detroit Michigan with a documented ABSSSI between April 2012 and November 2015 will be evaluated for inclusion. Patients must present with at least 3 of the following local signs/symptoms: pain, tenderness, swelling erythema, warmth, drainage/discharge, induration, and lymph node swelling/tenderness. Patients will be randomized 1:1 ceftaroline or vancomycin with optional anaerobic and/or Gram-negative coverage. The assignment of study drug will follow a randomized list that was previously generated via a computerized random mix block generator (nQuery Advisor® 7.0) and available at each of the study sites. Patients will be randomized to ceftaroline intravenously at 600 mg infused over 1 hour every 12 hours for patients with normal renal function. Patients randomized to vancomycin will receive the standard 15 mg/kg dose based on total body weight infused over 1 hour q 12 hour, dose and interval adjusted based on creatinine clearance and via institution-specific pharmacy protocol to target serum trough concentrations of 10-20 mg/L within the first 72 hours. Outcomes measured in the Clinically Evaluable patient population include day two or three size reduction (percentage) and clinical response at end of therapy or discharge.","Skin Diseases, Infectious|Staphylococcal Skin Infections","Accepts Healthy Volunteers","Interventional","February 2012","May 2016","Ceftaroline|Vancomycin","Drug|Drug","Phase 4","All","89 Years","18 Years","Treatment","Parallel Assignment","United States|United States|United States","Randomized","174",,
