"APIVrs: 1.01.03"
"DataVrs: 2021:10:13 22:57:14.023"
"Expression: bacterial infection"
"NStudiesAvail: 392193"
"NStudiesFound: 7653"
"MinRank: 1001"
"MaxRank: 2000"
"NStudiesReturned: 1000"
"Field Names: OverallStatus,BriefSummary,Condition,HealthyVolunteers,StudyType,StartDate,CompletionDate,InterventionName,InterventionType,Phase,Gender,MaximumAge,MinimumAge,DesignPrimaryPurpose,DesignInterventionModel,LocationCountry,DesignAllocation,EnrollmentCount,EventGroupDeathsNumAffected,EventGroupSeriousNumAffected"

"Rank","OverallStatus","BriefSummary","Condition","HealthyVolunteers","StudyType","StartDate","CompletionDate","InterventionName","InterventionType","Phase","Gender","MaximumAge","MinimumAge","DesignPrimaryPurpose","DesignInterventionModel","LocationCountry","DesignAllocation","EnrollmentCount","EventGroupDeathsNumAffected","EventGroupSeriousNumAffected"
1001,"Recruiting","Primary immune deficiencies (PID) are a group of chronic diseases characterized by recurrent infections. Apart from recurrent infections, in some of PIDs autoimmunity, allergy or malignancy could be accompanied to the diseases. Recently, the advanced sequencing technologies have led to the identification of a growing number of novel PIDs including the immune dysregulation syndromes caused by loss of function mutations in the LRBA (encoding lipopolysaccharide-responsive beige like anchor protein) and CTLA4 (encoding cytotoxic T lymphocyte antigen 4) genes, which are in common associated with autoimmunity in addition to a predisposition to recurrent infections. PIDs with autoimmune components usually tend to have a more protracted clinical course and poorer prognosis rendering early diagnosis and treatment more crucial. The accurate diagnosis largely relies on the molecular diagnosis due to the significant overlaps between the phenotypic expression of these various genetic defects. The project aims to provide better and early diagnosis for LRBA, CTLA4 deficiencies by using basic and advanced immunological, genetic and molecular assays and rendering an early targeting therapy for patients, discover disease related new pathways and biomarkers that can be helpful during diagnosis and monitoring abatacept targeted therapy responses.","LRBA Deficiency|CTLA4 Haploinsufficiency","Accepts Healthy Volunteers","Observational","January 15, 2020","January 15, 2023","Abatacept Injection [Orencia]","Drug",,"All","60 Years","1 Year",,,"Turkey",,"30",,
1002,"Completed","Multiple sclerosis is the most common autoimmune disease of the central nervous system, most ranging in age from 40-20 years of age is associated with neurons inflammation and demyelination. Increasing aggressive activities of Th17 and Th1 cells that their function is to secrete proinflammatory cytokines and decreasing the number and activity of regulatory T cells, which normally leads to controlling inflammation, are seen in these patients.Many studies have carried out to assess the prevalence of Tregs and Th17 in autoimmune disorders such as MS. The Treg /Th17 functional balance is necessary for the impediment of autoimmune and inflammatory diseases by preventing harmful injury to the host and increasing effective immune responses. miRNAs have been shown to play a pivotal role in the pathogenesis of various diseases including autoimmune or auto-inflammatory diseases. Curcumin, the active principle constituent of turmeric, is proved to be capable of regulating cellular responses and the growth of different cell types in the immune system such as B cells, T cells, macrophages, dendritic cells and natural killer cells. Curcumin has a combination of activities such as anti-inflammatory, antioxidant, anti-proliferation, anti-invasive, and can used in the treatment of Alzheimer's, Parkinson's, Multiple sclerosis, Cardiovascular disease, Bacterial diseases and Arthritis. The solubility of curcumin in nanomicelles spherical water increases to more than 100 thousand times, which significantly enhances the absorption of curcumin. The present study aimed at investigating the effects of nanocurcumin on the frequency of Treg and Th17 cells, expression levels of their associated transcription factors and cytokines, secretion levels of their associated cytokines and also related miRNAs expression levels in peripheral blood of patients with MS.||.","Multiple Sclerosis","No","Interventional","June 8, 2016","November 7, 2017","Nanocurcumin|Placebo","Drug|Drug","Phase 2","All","65 Years","18 Years","Treatment","Parallel Assignment","Iran, Islamic Republic of","Randomized","41",,
1003,"Completed","The existing diarrhoeagenic Escherichia coli (E. coli) challenge model is already suitable for dietary interventions in its current form, targeted to impact on the immediate clinical symptoms upon E. coli infection. In order to make the model also suitable for dietary interventions that are aimed at support of the protective response against reinfection, the immune response triggered by the primary infection should be suboptimal. The MIRRE pilot study is set up to determine how much the primary inoculation dose of diarrheagenic E. coli should be lowered in order to result in a reduced protective response upon a secondary infection.","Diarrhea","Accepts Healthy Volunteers","Interventional","September 26, 2018","February 28, 2019","E. coli strain E1392-75-2A dose 1E10 CFU|E. coli strain E1392-75-2A dose 1E9 CFU|E. coli strain E1392-75-2A dose 1E8 CFU|E. coli strain E1392-75-2A dose 1E7 CFU|E. coli strain E1392-75-2A dose 1E6 CFU","Biological|Biological|Biological|Biological|Biological","Not Applicable","Male","55 Years","18 Years","Basic Science","Parallel Assignment","Netherlands","Randomized","30",,
1004,"Completed","With the underlying study the investigators address the question if Ninjurin-1 (Ninj1) expression is altered in patients with systemic inflammatory response syndrome (SIRS) in comparison to healthy volunteers.|The adhesion molecule Ninj1 is induced following nerve injury where it contributes to nerve generation. Besides it is described to facilitate leukocyte migration especially in the nervous system.|The investigators hypothesize that Ninj1 expression is increased in SIRS patients, which will fortify its impact during inflammation and the transferability from bench to bedside.","Ninj1 Expression|SIRS","Accepts Healthy Volunteers","Observational","February 2014","September 2014",,,,"All",,"18 Years",,,"Germany",,"30",,
1005,"Recruiting","The body has different ways of fighting infection and disease. No single way seems perfect for fighting cancer. This research study combines two different ways of fighting disease: antibodies and T cells. Antibodies are proteins that protect the body from disease caused by bacteria or toxic substances. Antibodies work by binding those bacteria or substances, which stops them from growing and causing bad effects. T cells, also called T lymphocytes, are special infection-fighting blood cells that can kill other cells, including tumor cells or cells that are infected. Both antibodies and T cells have been used to treat patients with cancers. They both have shown promise, but neither alone has been sufficient to cure most patients. This study is designed to combine both T cells and antibodies to create a more effective treatment called autologous T lymphocyte chimeric antigen receptor cells targeted against the CD30 antigen (ATLCAR.CD30) administration.||In previous studies, it has been shown that a new gene can be put into T cells that will increase their ability to recognize and kill cancer cells. The new gene that is put in the T cells in this study makes an antibody called anti-CD30. This antibody sticks to lymphoma cells because of a substance on the outside of the cells called CD30. Anti-CD30 antibodies have been used to treat people with lymphoma, but have not been strong enough to cure most patients. For this study, the anti-CD30 antibody has been changed so that instead of floating free in the blood it is now joined to the T cells. When an antibody is joined to a T cell in this way it is called a chimeric receptor. These CD30 chimeric (combination) receptor-activated T cells seem to kill some of the tumor, but they do not last very long in the body and so their chances of fighting the cancer are unknown.||The purpose of this research study is to establish a safe dose of ATLCAR.CD30 cells to infuse after lymphodepleting chemotherapy and to estimate the number patients whose cancer does not progress for two years after ATLCAR.CD30 administration. This study will also look at other effects of ATLCAR.CD30 cells, including their effect on the patient's cancer.","Lymphoma|Lymphoma, Non-Hodgkin|Immune System Diseases|Immunoproliferative Disorders|Lymphatic Diseases|Lymphoproliferative Disorders|Neoplasms|Neoplasms by Histologic Type","No","Interventional","August 26, 2016","August 26, 2038","ATLCAR.CD30 cells","Biological","Phase 1|Phase 2","All",,"3 Years","Treatment","Single Group Assignment","United States","N/A","40",,
1006,"Recruiting","The body has different ways of fighting infection and disease. No single way seems perfect for fighting cancer. This research study combines two different ways of fighting disease: antibodies and T cells. Antibodies are proteins that protect the body from disease caused by bacteria or toxic substances. Antibodies work by binding those bacteria or substances, which stops them from growing and causing bad effects. T cells, also called T lymphocytes, are special infection-fighting blood cells that can kill other cells, including tumor cells or cells that are infected. Both antibodies and T cells have been used to treat patients with cancers. They both have shown promise, but neither alone has been sufficient to cure most patients. This study is designed to combine both T cells and antibodies to create a more effective treatment. The treatment that is being researched is called autologous T lymphocyte chimeric antigen receptor cells targeted against the CD138 antigen (CAR138 T cells).||In previous studies, it has been shown that a new gene can be put into T cells that will increase their ability to recognize and kill cancer cells. A gene is a unit of DNA. Genes make up the chemical structure carrying the patient's genetic information that may determine human characteristics (i.e., eye color, height and sex). The new gene that is put in the T cells in this study makes a piece of an antibody called anti-CD138. This antibody floats around in the blood and can detect and stick to cancer cells called multiple myeloma cells because they have a substance on the outside of the cells called CD138. Anti-CD138 antibodies have been used to treat people with multiple myeloma, but have not been strong enough to cure most patients. For this study, the anti-CD138 antibody has been changed so that instead of floating free in the blood part of it is now joined to the T cells. Only the part of the antibody that sticks to the multiple myeloma cells is attached to the T cells instead of the entire antibody. When an antibody is joined to a T cell in this way it is called a chimeric receptor. These CD138 chimeric (combination) receptor-activated T cells seem to kill some of the tumor, but they do not last very long in the body and so their chances of fighting the cancer are unknown.","Multiple Myeloma|Immune System Diseases","No","Interventional","January 14, 2019","October 2032","CAR138 T Cells","Drug","Phase 1","All",,"18 Years","Treatment","Single Group Assignment","United States","N/A","33",,
1007,"Completed","Although advances in neonatal care have improved survival and reduced complications in preterm infants, sepsis still contributes significantly to mortality and in Neonatal Intensive Care Units (NICUs), in particular for very-low-birth-weight (VLBW, <1500 g) and extremely-low-birth-weight (ELBW, <1000g). Based on the timing of the infection neonatal sepsis has been classified into early-onset sepsis (EOS) and late-onset sepsis (LOS), with differences in the mode of transmission and predominant organisms. EOS is defined as onset in the first 3 days of life generally due to vertical transmission of bacteria from mothers to infants during the intrapartum period. LOS occurs after 3 days of life and it is attributed to pathogens acquired postnatally (horizontal transmission). Considering generally neonatal sepsis in Europe, 90% of the responsible bacteria resulted to be: Streptococcus agalactiae, Escherichia coli, Klebsiella pneumoniae, e Listeria monocytogenes. The diagnosis is difficult because clinical signs, particularly early in the course of disease, are subtle and nonspecific, and laboratory tests and blood culture are not always reliable. Moreover. blood culture (considered the 'gold standard) takes 48-72 hours for result. In fact the cultural method requires the presence of living and vital germs, depends on the volume of the sample - serious problem in neonatal population -, several hours are needed to process the sample, possibly resulting falsely negative in subjects undergoing concomitant antibiotic treatment or a false positive result can be found by contamination. The method based on molecular biology does not require living germs and, therefore, is not characterised by the sensitivity limitations. Such method can result to be extremely effective in patients receiving antibiotic therapy.||In the present study, when an infant has to undergone blood sample for bacteria culture to verify a possible sepsis, a residual blood (200µl) is processed in the same time using a kit based on molecular biology.||This kit is designed to obtain the highest sensitivity and specificity in the determination of most invasive bacterial diseases (meningitis, sepsis, pneumonia, etc.) affecting full-term, preterm infants to determine any presence of bacterial DNA belonging to all serotypes of Klebsiella pneumoniae, Escherichia coli, Streptococcus agalactiae and Listeria monocytogenes.||The target bacteria have been chosen on the basis of the current Italian epidemiological context, so as to include germs causing about 90% of the meningitis/sepsis cases among the neonatal population. The detection system can unmistakably identify the germ against which it is directed and without causing any cross-reaction with other germs or human DNA..||The results obtained with this method have demonstrated a 100% specificity (no false positive result) The sensitivity of this method compared with the cultural method has turned out to be twice as high.||The aim of the present study is to compare the efficacy of the blood culture method and the kit for molecular detection of bacterial DNA (all serotypes of Klebsiella pneumoniae, Escherichia coli, Streptococcus agalactiae and Listeria monocytogenes) considering the relevant epidemiology of our NICU, in order to verify the relative frequency of sepsis (EOS and LOS) caused by the target bacteria on the whole frequency of the bacteria responsible of all the sepsis in our ward.","Sepsis","No","Observational","January 2015","June 2017","molecular assay|Blood culture","Diagnostic Test|Diagnostic Test",,"All","30 Days",,,,"Italy",,"69",,
1008,"Completed","FIT-2 is a multi-country, phase IIb, randomized, non-comparative study, carried out in West Africa (Côte d'Ivoire, Burkina Faso, Senegal, Togo).||ARV-naïve HIV-2 infected adult patients will be recruited and followed during 96 weeks.||The objective is to evaluate the efficacy and safety of 3 first-line treatments in HIV-2 infected adult patients, in West Africa. A treatment will be considered as effective if more than 55% of patients in that arm attain ""global success"" at 96 weeks.","HIV-2 Infection","No","Interventional","January 26, 2016","May 15, 2019","Tenofovir + Emtricitabine or Lamivudine + Zidovudine|Tenofovir + Emtricitabine or Lamivudine + Lopinavir/ritonavir|Tenofovir + Emtricitabine or Lamivudine + Raltegravir","Drug|Drug|Drug","Phase 2|Phase 3","All",,"18 Years","Treatment","Parallel Assignment","Burkina Faso|Burkina Faso|Côte D'Ivoire|Côte D'Ivoire|Côte D'Ivoire|Côte D'Ivoire|Côte D'Ivoire|Senegal|Togo","Randomized","210",,
1009,"Recruiting","The body has different ways of fighting infections and disease. No single way seems perfect for fighting cancer. This research study combines two different ways of fighting disease: antibodies and T cells. Antibodies are molecules that fight infections and protect your body from diseases caused by bacteria and toxic substances. Antibodies work by sticking to those bacteria or substances, which stops them from growing and causing bad effects. T cells are special infection-fighting blood cells that can kill other cells, including tumor cells or cells that are infected. Both antibodies and T cells have been used to treat patients with cancers. They both have shown promise, but neither alone has been enough to cure most patients. This study is designed to combine both T cells and antibodies in order to create a more effective treatment. The treatment that is being researched is called autologous T lymphocyte chimeric antigen receptor cells (CAR) cells targeted against the disialoganglioside (GD2) antigen that express Interleukin (IL)-15, and the inducible caspase 9 safety switch (iC9), also known as iC9.GD2.CAR.IL-15 T cells.||In previous studies, it has been shown that when T cells have part of an antibody attached to them they are better at recognizing and killing cancer cells. The antibody that will be used in this study is called anti-GD2. This antibody floats around in the blood and can detect and stick to cancer cells called neuroblastoma cells because they have a substance on the outside of the cells called GD2. For this study, the anti-GD2 antibody has been changed so instead of floating freely in the blood, it is now joined to the T cells. However, it is unknown how long the iC9.GD2.CAR.IL-15 T cells last in the body, so their chances of fighting cancer cells are not well known.||To improve the tumor fighting power of GD2-CAR-T cells, our researchers have added two additional components to these cells. The IL-15 gene was added so that the GD2-CAR-T cells can attack tumor cells more effectively. Interleukin-15 (IL-15) is a chemical that cells use to communicate with one another. Other research using IL-15 in combination with CAR-T cells has shown there is an increase in the body's ability to allow the CAR-T cells to survive and grow in the body. The iC9 gene was added as an ""off switch"" so it can stop the activity of the GD2-CAR-T cells if you experience any serious bad side effects. Bad side effects seen previously in patients receiving the GD2 antibody alone include pain. In this study, the ""stop switch"" can be used to turn off the GD2-CAR-T cells if you experience intense pain that does not respond to normal pain treatments.||The primary purpose of this study is to determine whether receiving iC9.GD2.IL-15 T cells is safe and tolerable in patients with relapsed/refractory neuroblastoma.","Neuroblastoma|Osteosarcoma","No","Interventional","February 19, 2019","September 19, 2038","iC9.GD2.CAR.IL-15 T-cells|Cyclophosphamide|Fludarabine","Biological|Drug|Drug","Phase 1","All","18 Years","18 Months","Treatment","Single Group Assignment","United States","N/A","18",,
1010,"Recruiting","The body has different ways of fighting infection and disease. No single way seems perfect for fighting cancer. This research study combines two different ways of fighting disease: antibodies and T cells. Antibodies are proteins that protect the body from disease caused by bacteria or toxic substances. Antibodies work by binding those bacteria or substances, which stops them from growing and causing bad effects. T cells, also called T lymphocytes, are special infection-fighting blood cells that can kill other cells, including tumor cells or cells that are infected. Both antibodies and T cells have been used to treat patients with cancers. They both have shown promise, but neither alone has been sufficient to cure most patients. This study is designed to combine both T cells and antibodies to create a more effective treatment. The treatment that is being researched is called autologous T lymphocyte chimeric antigen receptor cells targeted against the CD30 antigen (ATLCAR.CD30) administration.||In previous studies, it has been shown that a new gene can be put into T cells that will increase their ability to recognize and kill cancer cells. A gene is a unit of DNA. Genes make up the chemical structure carrying the patient's genetic information that may determine human characteristics (i.e., eye color, height and sex). The new gene that is put in the T cells in this study makes a piece of an antibody called anti-CD30. This antibody floats around in the blood and can detect and stick to cancer cells called lymphoma cells because they have a substance on the outside of the cells called CD30. Anti-CD30 antibodies have been used to treat people with lymphoma, but have not been strong enough to cure most patients. For this study, the anti-CD30 antibody has been changed so that instead of floating free in the blood part of it is now joined to the T cells. Only the part of the antibody that sticks to the lymphoma cells is attached to the T cells instead of the entire antibody. When an antibody is joined to a T cell in this way it is called a chimeric receptor. These CD30 chimeric (combination) receptor-activated T cells seem to kill some of the tumor, but they do not last very long in the body and so their chances of fighting the cancer are unknown.||The purpose of this research study is to determine a safe dose of the ATLCAR.CD30 cells that can be given to subjects after undergoing an autologous transplant. This is the first step in determining whether giving ATLCAR.CD30 cells to others with lymphoma in the future will help them. The researchers also want to find out what side effects patients will have after they receive the ATLCAR.CD30 cells post-transplant. This study will also look at other effects of ATLCAR.CD30 cells, including their effect on your cancer and how long they will survive in your body.","Hodgkin Disease|Lymphoma|Lymphoma, Non-Hodgkin|Immune System Diseases|Immunoproliferative Disorders|Lymphatic Diseases|Lymphoproliferative Disorders|Neoplasms|Neoplasms by Histologic Type","No","Interventional","July 15, 2016","January 2037","ATLCAR.CD30 cells","Drug","Phase 1","All",,"3 Years","Treatment","Single Group Assignment","United States|United States","N/A","18",,
